Date,Composite_HPI_SA,Single_Family_HPI_SA,One_Storey_HPI_SA,Two_Storey_HPI_SA,Townhouse_HPI_SA,Apartment_HPI_SA,Composite_Benchmark_SA,Single_Family_Benchmark_SA,One_Storey_Benchmark_SA,Two_Storey_Benchmark_SA,Townhouse_Benchmark_SA,Apartment_Benchmark_SA,V41690973,V41690914,STATIC_TOTALCPICHANGE,CPI_TRIM,CPI_MEDIAN,CPI_COMMON,ATOM_V41693242,STATIC_CPIXFET,CPIW,Open,High,Low,Close,Adj Close,Volume,Prime Rate,Bank of Canada Overnight Rate
01-01-2005,100,100,100,100,100,100,221200,234700,194200,273800,204300,171700,105.3,105.8,1.9,1.7,1.8,2,1.7,1.1,1.6,9190.099609,9246.799805,8952.799805,9204.099609,9204.099609,2335454800,4.25,2.5
01-02-2005,100.6,100.6,100.4,100.7,100.3,101.1,222600,236200,195000,275600,205000,173600,105.7,105.9,2.1,1.7,1.8,2,1.7,1.4,1.7,9211.5,9774.599609,9204.099609,9668.299805,9668.299805,2446392600,4.25,2.5
01-03-2005,101.4,101.4,101,101.4,100.6,101.7,224300,237900,196200,277700,205500,174700,106.3,106.2,2.3,1.9,2,2,1.8,1.5,1.9,9701.200195,9968.400391,9390.5,9612.400391,9612.400391,2955365700,4.25,2.5
01-04-2005,102.2,102.3,101.8,102.2,100.8,102.3,226000,240000,197600,279800,206000,175600,106.6,106.4,2.4,1.8,1.9,2,1.6,1.1,1.8,9675.299805,9701.400391,9243.700195,9369.299805,9369.299805,2377228200,4.25,2.5
01-05-2005,102.8,103,102.4,103,101,102.8,227500,241800,198800,282000,206300,176500,106.7,106.3,1.6,1.8,1.8,1.9,1.6,1.2,1.6,9349.099609,9679.900391,9261.5,9607.299805,9607.299805,2304422000,4.25,2.5
01-06-2005,103.9,104.1,103.2,104.1,101.4,103.9,229800,244400,200400,285000,207200,178400,106.9,106.6,1.7,1.8,1.9,2,1.5,1.4,1.7,9618.400391,10075,9604.599609,9902.799805,9902.799805,2615060500,4.25,2.5
01-07-2005,105.1,105.5,104.4,105.4,102.5,104.8,232500,247600,202700,288600,209400,180000,107.1,106.8,2,1.7,1.8,2,1.3,1.1,1.7,10033,10542,9902.799805,10422.90039,10422.90039,2116858500,4.25,2.5
01-08-2005,106.4,106.9,105.7,106.7,103.4,105.5,235400,250900,205200,292200,211300,181200,107.5,107.3,2.6,1.7,1.8,2.2,1.7,1.5,2,10491.7002,10728.59961,10373.2002,10668.90039,10668.90039,2824134500,4.25,2.5
01-09-2005,107.9,108.3,107.2,108,104.7,107.9,238600,254200,208200,295800,214000,185300,108.4,108.3,3.2,1.7,1.9,2.2,1.7,1.5,2.1,10675.59961,11135.5,10668.90039,11011.79981,11011.79981,3151830700,4.5,2.75
01-10-2005,109.4,110,108.5,109.7,105.7,108.9,242000,258100,210700,300300,215900,187000,107.9,108.1,2.6,1.7,1.9,2,1.7,1.4,1.9,11035,11084.59961,10145.09961,10383.29981,10383.29981,2812107900,4.75,3
01-11-2005,111,111.6,110.2,111.1,107,110.2,245500,261900,214000,304200,218700,189200,107.7,107.9,2,1.7,1.8,2,1.5,1.4,1.7,10390,11146.09961,10383.29981,10824.09961,10824.09961,2905177100,4.75,3
01-12-2005,112.4,113.1,111.6,112.6,107.6,111.4,248600,265500,216700,308300,219900,191300,107.6,108,2.1,1.7,1.8,2,1.5,1.3,1.7,10868.2002,11296.79981,10824.09961,11272.29981,11272.29981,2722575800,5,3.25
01-01-2006,114.1,114.7,113.2,114.1,109.7,113.2,252300,269300,219800,312500,224100,194400,108.2,108.9,2.8,1.8,1.8,2.1,1.6,1.4,2,11304.59961,12000,11272.29981,11945.59961,11945.59961,3633925900,5.25,3.5
